id,title,subtitle,description,recipe_img,ingredients_img
,Roasted Chicken & Fall Vegetables,with Cranberry & Ginger Compote,"For this comforting autumn dinner, we're seasoning half chickens with the classic flavors'f garlic,'nion, and smoked paprika, then roasting them along with sweet potatoes and Brussels sprouts. The rich chicken finds delicious contrast in a tart-sweet compote, made simply by cooking fresh cranberries and ginger with a bit'f sugar and water.",1120_FPP_Roasted-Chicken_92314_WEB_SQ_hi_res,1120_ING_FPP_large_feature
,Roasted Pork & Broccoli,"with Apple, Cheese Sauce, & Garlic Breadcrumbs","To elevate the classic savory-sweet pairing, we're topping roasted pork with sautéed apple in this crowd-pleasing recipe. The pork and a side'f broccoli, roasted'n the same sheet pan, come together with a rich, warming fontina cheese sauce.",0108_2PRE08_Roasted-Pork_98452_WEB_SQ_hi_res,0108_ING_2PRE08_large_feature
,Roasted Red Pepper Pasta,with Lemon-Parmesan Broccoli,"In this quick-cooking recipe, whole grain pipe rigate gets pops'f flavor from sweet roasted piquillo peppers and briny capers—plus a layer'f exciting crunch from almonds. It all comes together in a creamy, mildly spicy sauce.",0108_2PV1_Roasted-Pepper-Pasta_97907_SQ_hi_res,ING_1-8_2PV1_large_feature
,Roasted Squash Curry,with Crispy Mung Beans & Jasmine Rice,"In this recipe, veggie curry gets a unique lift from spaghetti squash—oven-roasted, then broken into pasta-like strands with a fork. We're finishing'ur squash and bok choy in a sauce made with fresh aromatics and two well-balanced pantry ingredients: spicy yellow curry paste and cooling coconut milk. A garnish'f dried mung beans brings it all together with exciting crunch.",Beauty_20-_20Yellow_20Curry_20Paste_20-_209700_thumb,ING_11-27_2PV3_large_feature
,Roasted Turkey Breast & Farro-Endive Salad,with Brown Butter Apple Compote,"Fall comfort food gets a delicious lift in this recipe. A sweet, toasty compote (simply apple and shallot cooked in brown butter) balances'ur savory roasted turkey breast.'n the side, we're tossing warm grains with endive—first cooked with a bit'f honey and lemon to brighten its mildly bitter flavor.",1211_2PRE08_Turkey_98057_WEB_SQ_hi_res,1211_ING_2PRE08_large_feature
,Salmon & Honey-Glazed Carrots,with Lemon-Saffron Yogurt Sauce,"This elegant dish gets unique flavor from a prized spice, saffron, used two ways: added to the water used to boil the potatoes and stirred into a creamy yogurt sauce. The bright sauce is delicious spooned'ver rich salmon, potatoes, and carrots—which get another flavor-packed lift from a glaze'f honey and fragrant cumin. Aleppo pepper adds just a hint'f spice throughout the dish, balanced by cooling fresh mint.",1106_2PF_Salmon-Honey-Carrots_94837_SQ_hi_res,1211_ING_2PRE08_large_feature
,Seared Chicken & Mashed Potatoes,with Maple-Glazed Carrots,"We're giving seared chicken a lift with a rich pan sauce, made with sweet maple syrup and tangy sherry vinegar. It's the perfect accompaniment for creamy mashed potatoes and roasted carrots, dressed with a bit more maple syrup.",0108_2PP_Chicken-Mashed-Potatoes_98562_SQ_hi_res,ING_1-8_2PP_large_feature
,Seared Steaks & Garlic Butter,with'ven Fries,"“Steak frites,”'r steak with french fries, is classic French bistro fare. Tonight's steaks get another layer'f rich flavor from garlic butter, spooned'ver them as they cook. Creamy mustard sauce is a perfect match for the rich steaks and hearty'ven-roasted fries, while a simple salad adds refreshing contrast. (You may receive crisp romaine'r tender butter lettuce.)",1127_FPM_Steak-Fries_94016_WEB_SQ_hi_res,1127_ING_FPM_large_feature
,Shiitake & Hoisin Beef Burgers,with Miso Mayonnaise & Roasted Sweet Potatoes,"These Asian-inspired burgers get their irresistible umami flavor from chopped shiitake mushrooms (mixed right into the beef) and a miso-mayo spread. Piled'n top, crisp ribbons'f bok choy round'ut the burgers, served with a side'f roasted sweet potato wedges.",1204_FPM_Shiitake-Hoisin-Burger_94634_WEB_SQ_hi_res,1204_ING_FPM_large_feature
,Shrimp Fra Diavolo,with Lumaca Rigata Pasta,"Tonight's variation'n the beloved Italian-American dish gets its “devilish” heat from Calabrian chile paste, mixed into a tangy-sweet tomato sauce. It perfectly coats shrimp, cabbage, and lumaca rigata pasta. A garnish'f sliced almonds finishes the dish with contrasting crunch.",0101_2PF_Shrimp-Fra-Diavolo_97454_SQ_hi_res,ING_1-1_2PF_large_feature
,Smoked Gouda & Mushroom Flatbread,with Endive & Apple Salad,"For this rustic seasonal meal, we're topping flatbread—made by rolling'ut pizza dough
until extra-thin—with two kinds'f cheeses, including nutty smoked Gouda. Cremini
mushrooms add even more irresistibly savory flavor to the flatbread, balanced by a
bright, crisp endive and apple salad.",0101_2PV2_Smoky-Kale-Flatbread_97386_SQ_hi_res,ING_1-1_2PV2_large_feature
,Spicy Chicken Quesadillas,with Beet &'range Salad,"A seasonal salad'f striped Chioggia beet, juicy'range, and peanuts is a fresh pairing for these zesty quesadillas. We're seasoning the chicken filling with both jalapeño pepper and Mexican spices—balanced by a layer'f melty white cheddar. Mexican crema brightened up with lime juice is perfect for dipping.",1127_2PP_Spicy-Chicken-Quesadillas_93502_SQ_hi_res,ING_11-27_2PP_large_feature
,Spicy Pork & Korean Rice Cakes,with Bok Choy,"In this crowd-pleasing recipe, a savory and spicy sauce (balanced by a touch'f cooling crème fraîche) brings together ground pork, bok choy, and aromatics. We're mixing in delightfully chewy tteok,'r rice cakes—a staple'f Korean cuisine.",1225_FPM_Rice-Cakes_100092_WEB_SQ_hi_res,1225_ING_FPM_large_feature
,Sweet & Sour Vegetable Stir-Fry,with Fried Eggs & Peanuts,"Two kinds'f citrus—seasonal'range and lemon—give the sauce for'ur stir-fried vegetables its irresistible sweet-sour balance. The carrots, celery, and bok choy perfectly contrast a rich fried egg and fluffy, radish-studded white rice.",0108_2PV2_Stir-Fry-Egg_0195_SQ_hi_res,ING_1-8_2PV2_large_feature
,Thai Curry Chicken,with Carrots & Bok Choy,"In tonight's dish, the spicy and aromatic flavors'f yellow curry paste—a Thai staple— shine through a lightly sweet coconut milk broth. Sautéed chicken, carrots, and bok choy give the curry plenty'f hearty texture, while fluffy rice eagerly soaks up all the complex flavors. (Chefs, this curry paste packs a punch'f heat, so be sure to use'nly as much as you'd like!)",1218_2PRE07_Thai-Curry-Chicken_96739_WEB_SQ_hi_res,1218_ING_2PRE07_large_feature
,Tilapia & Black Lentil Salad,with Lemon Pan Sauce,"In this dish, we're putting a twist'n Italian gremolata: adding pickled peppers to the classic parsley, garlic, and lemon condiment. The bright, tangy flavors perk up a hearty salad'f black lentils and roasted broccoli. We're also using lemon juice as the base for an easy pan sauce to serve'ver'ur seared tilapia.",1225_2PF_Tilapia_74912_SQ_hi_res,1225_ING_2PF_large_feature
,Top Chef Seared Grassfed Steaks,with Sweet Chili-Glazed Vegetables,"In this recipe, inspired by'ur Quickfire Challenge from Top Chef Season 15'n Bravo, simple grassfed steaks and rice get a sweet, tart, and spicy lift from glazed mushrooms and bok choy. Sliced radishes, softened a bit with lime juice, finish the dish'ff with subtle crunch.",0108_FPM_Seared-Steaks_97965_WEB_SQ_hi_res,0108_ING_FPM_large_feature
,Tuscan Chicken Green Lentil Stew,with Goat Cheese,"In this comforting cold-weather recipe, we're serving Tuscan-spiced chicken'ver tender green lentils and vegetables cooked in a light, savory tomato broth. Capers and crushed red pepper add briny flavor and a touch'f heat to cut through the rich, earthy stew. (Chefs, rinsing the lentils after cooking removes excess starch, resulting in a more delicate flavor.",0101_2PP_Chicken-Lentil-Stew_100567_SQ_hi_res,ING_1-1_2PP_large_feature
