id,key,ingredients
48,7,1 28-Ounce Can Whole Peeled Tomatoes
49,7,4 oz Cremini Mushrooms
50,7,3 cloves Garlic
51,7,1 Yellow Onion
52,7,1 bunch Chives
53,7,2 Tbsps Ancho Chile Paste
54,7,"1 Tbsp Mexican Spice Blend (Ancho Chile Powder, Sweet Paprika, Garlic Powder, Ground Cumin, & Whole Mexican Oregano)"
55,7,½ lb White Cheddar Cheese
56,7,½ cup Sour Cream
57,8,21 oz Wild Alaskan Pollock Fillets
58,8,2 Cage-Free Farm Eggs
59,8,2 Tbsps Sweet Pickle Relish
60,8,1 Romaine Lettuce Heart
61,8,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley) "
62,8,1¼ cups Panko Breadcrumbs
63,8,¼ cup Creamy Mustard Sauce
64,9,10 oz Chopped Chicken Breast
65,9,1 head Baby Bok Choy
66,9,¾ cup Jasmine Rice
67,9,2 cloves Garlic
68,9,1 Tbsp Rice Vinegar
69,9,1 1-Inch Piece Ginger
70,9,1 tsp Sriracha
71,9,1 Tbsp Honey
72,9,1 Tbsp Sesame Oil 
73,9,¼ cup Cornstarch
74,9,2 Tbsps Hoisin Sauce
75,10,"4 Boneless, Center-Cut Pork Chops "
76,10,2 Carrots
77,10,1 bunch Chives
78,10,2 Tbsps Tahini
79,10,2 Tbsps Soy Sauce
80,10,¾ lb Fresh Wonton Noodles
81,10,2 tsps Sambal Oelek
82,10,1 1-Inch Piece Ginger
83,10,¼ cup Hoisin Sauce
84,11,4 Skin-On Barramundi Fillets
85,11,½ cup Plain Greek Yogurt
86,11,1⅛ lbs Yukon Gold Potatoes 
87,11,"1 Tbsp Za'atar Seasoning (Ground Sumac, Sesame Seeds, Salt, Ground Thyme, Whole Dried Oregano, & Crushed Aleppo Pepper)"
88,12,4 Cage-Free Farm Eggs 
89,12,1 cup Part-Skim Ricotta Cheese 
90,12,1 Romaine Lettuce Heart 
91,12,2 Tbsps Sliced Roasted Almonds
92,12,"1 Tbsp Cajun Spice Blend (Smoked Paprika, Ground Yellow Mustard, Onion Powder, Garlic Powder, Whole Dried Oregano, Whole Dried Thyme, & Cayenne Pepper) "
93,12,2 Tbsps Crème Fraîche
94,13,4 Flour Tortillas 
95,13,3 oz Radishes
96,13,1 Orange 
97,13,¾ lb Yukon Gold Potatoes 
98,13,6 oz Cremini Mushrooms 
99,13,1 Shallot 
100,13,3 Tbsps Roasted Peanuts
101,13,¼ cup Sour Cream
102,13,1 oz Sliced Pickled Jalapeño Pepper
103,13,"1 Tbsp Spanish Spice Blend (Smoked Paprika, Ground Cumin, Ground Coriander, Dried Mexican Oregano, Cayenne Pepper, & Ground Cinnamon) "
104,13,1 Romaine Lettuce Heart 
105,13,2 Tbsps Rice Vinegar
106,14,"4 Boneless, Skinless Chicken Breasts "
107,14,¼ cup All-Purpose Flour
108,14,½ cup Grated Parmesan Cheese
109,14,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley)
"
110,15,2 Potato Buns 
111,15,1 Sweet Potato 
112,15,2 oz Cheddar Cheese
113,15,1 oz Sweet Piquante Peppers 
114,15,2 Tbsps Mayonnaise 
115,15,"1 tsp Pimento Cheese Spice Blend (Garlic Powder, Ground Yellow Mustard, & Sugar)"
116,16,¾ lb Yukon Gold Potatoes 
117,16,10 oz Ground Pork Chorizo 
118,16,2 Tbsps Crème Fraîche 
119,16,2 Tbsps Grated Cotija Cheese
120,17,2 Cage-Free Farm Eggs
121,17,½ cup Fregola Sarda Pasta 
122,17,1 clove Garlic 
123,17,1 lb Broccoli
124,17,1 Red Onion 
125,17,1 bunch Mint 
126,17,2 Tbsps Tahini
127,17,1 oz Pecorino Romano Cheese
128,17,"1 Tbsp Za'atar Seasoning (Ground Sumac, Sesame Seeds, Salt, Ground Thyme, Whole Dried Oregano, & Crushed Aleppo Pepper) "
129,17,3 Tbsps Roasted Almonds 
130,17,1 Lemon
131,18,⅔ cup Cracked Freekeh 
132,18,½ cup Sheep's Milk Yogurt 
133,18,2 Carrots 
134,18,2 cloves Garlic 
135,18,1 Lemon 
136,18,1 bunch Mint
137,18,2 Dried Medjool Dates 
138,18,2 Tbsps Pickled Peruvian Peppers
139,18,1¾ oz Barrel-Aged Feta Cheese
140,18,2 Tbsps Roasted Almonds 
141,18,¼ tsp Crushed Red Pepper Flakes 
142,18,¾ lb Brussels Sprouts
143,19,2 Cage-Free Farm Eggs 
144,19,2 cloves Garlic 
145,19,1 head Cauliflower 
146,19,1 Lemon 
147,19,2 Tbsps Butter 
148,19,1 Shallot
149,19,1 Tbsp Capers
150,19,3 Tbsps Panko Breadcrumbs
151,19,¼ cup Grated Parmesan Cheese
152,20,1 lb Sweet Potatoes 
153,20,4 oz Cranberries 
154,20,½ lb Brussels Sprouts
155,20,2 Tbsps Apple Cider Vinegar 
156,20,2 Tbsps Sugar 
157,20,1 1-Inch Piece Ginger 
158,20,¼ cup Roasted Walnuts 
159,20,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley)"
160,21,3 Tbsps Panko Breadcrumbs 
161,21,2 Tbsps All-Purpose Flour 
162,21,1 Tbsp Apple Cider Vinegar
163,21,"1 Tbsp Southern Spice Blend (Onion Powder, Garlic Powder, Ground Yellow Mustard, Smoked Paprika, & Cayenne Pepper)"
164,22,6 oz Whole Grain Pipe Rigate Pasta 
165,22,2 oz Roasted Piquillo Peppers 
166,22,2 Tbsps Grated Parmesan Cheese 
167,22,2 Tbsps Sliced Roasted Almonds 
168,23,½ cup Jasmine Rice 
169,23,1¾ cups Light Coconut Milk 
170,23,1 Lime 
171,23,1 Yellow Onion 
172,23,1 bunch Mint
173,23,2 Tbsps Dried Mung Beans 
174,23,1½ Tbsps Yellow Curry Paste 
175,23,1 1-Inch Piece Ginger 
176,23,1 Tbsp Sugar 
177,23,½ lb Baby Bok Choy
178,24,1 Turkey Breast Roast 
179,24,⅔ cup Semi-Pearled Farro 
180,24,1 Apple 
181,24,1 Lemon 
182,24,1 Endive 
183,24,1 bunch Chives 
184,24,2 Tbsps Butter 
185,24,1 Shallot
186,24,1 Tbsp Honey 
187,24,1 Tbsp Whole Grain Dijon Mustard
188,25,2 Skin-On Salmon Fillets 
189,25,2 cloves Garlic 
190,25,6 oz Carrots 
191,25,1 Lemon 
192,25,¾ lb Yukon Gold Potatoes 
193,25,1 Pinch Saffron 
194,25,1 Tbsp Honey 
195,25,½ cup Plain Greek Yogurt 
196,25,½ tsp Crushed Aleppo Pepper 
197,25,½ tsp Ground Cumin
198,26,"2 Boneless, Skinless Chicken Breasts "
199,26,¾ lb Yukon Gold Potatoes 
200,26,2 Tbsps Crème Fraîche 
201,26,1 Tbsp Sherry Vinegar
202,27,2 cloves Garlic
203,27,2 Russet Potatoes
204,27,1 bunch Chives
205,27,3 Tbsps Creamy Mustard Sauce
206,27,2 Tbsps Butter
207,27,1 Tbsp Red Wine Vinegar
208,28,4 Potato Buns
209,28,2 cloves Garlic
210,28,2 Scallions
211,28,2 Sweet Potatoes
212,28,½ lb Baby Bok Choy
213,28,2 Tbsps Hoisin Sauce
214,28,2 Tbsps Sweet White Miso Paste 
215,28,½ oz Dried Shiitake Mushrooms
216,28,¼ cup Mayonnaise
217,29,6 oz Lumaca Rigata Pasta 
218,29,2 cloves Garlic 
219,29,1 8-Ounce Can Tomato Sauce 
220,29,1½ tsps Calabrian Chile Paste 
221,29,2 Tbsps Crème Fraîche 
222,29,2 Tbsps Sliced Roasted Almonds 
223,29,2 Tbsps Verjus Blanc
224,30,1 Endive
225,30,2 cloves Garlic
226,30,2 oz Smoked Gouda Cheese 
227,30,2 oz Smoked Gouda Cheese 
228,30,1 Red Onion 
229,30,¾ lb Pizza Dough
230,30,4 oz Cremini Mushrooms 
231,30,1 Apple 
232,30,1 Tbsp Honey 
233,30,1 Tbsp Apple Cider Vinegar
234,31,4 Flour Tortillas 
235,31,2 Scallions 
236,31,6 oz Chioggia Beet 
237,31,1 Jalapeño Pepper 
238,31,1 Lime 
239,31,1 Navel Orange 
240,31,3 Tbsps Roasted Peanuts
241,31,2 oz White Cheddar Cheese
242,31,¼ cup Mexican Crema 
243,31,"1 Tbsp Mexican Spice Blend (Ancho Chile Powder, Smoked Paprika, Garlic Powder, Ground Cumin, & Dried Mexican Oregano)"
244,32,1 lb Korean Rice Cakes 
245,32,2 cloves Garlic 
246,32,2 heads Baby Bok Choy 
247,32,2 Tbsps Soy Glaze 
248,32,1½ Tbsps Gochujang 
249,32,1 1-Inch Piece Ginger
250,32,¼ cup Black Bean Sauce
251,32,¼ cup Crème Fraîche
252,32,1 bunch Chives
253,33,2 Cage-Free Farm Eggs 
254,33,1 1-Inch Piece Ginger
255,33,1½ Tbsps Soy Marinade 
256,33,2 Tbsps Roasted Peanuts
257,34,10 oz Chopped Chicken Breast 
258,34,1¾ cups Light Coconut Milk 
259,34,3 Carrots 
260,34,1 Lime 
261,34,1 head Baby Bok Choy
262,34,½ cup Dried Shiitake Mushrooms 
263,34,2 tsps Golden Mountain Sauce 
264,34,1½ Tbsps Yellow Curry Paste
265,35,½ cup Black Beluga Lentils 
266,35,2 cloves Garlic 
267,35,1 Lemon 
268,35,½ lb Broccoli 
269,35,1 bunch Parsley 
270,35,2 Tbsps Butter 
271,35,1 oz Golden Or Red Sweet Piquante Peppers 
272,35,1 Tbsp Capers
273,36,2 Grassfed Strip Steaks 
274,36,4 oz Cremini Mushrooms 
275,36,1 1-Inch Piece Ginger 
276,36,2 Tbsps Sweet Chili Sauce
277,37,"2 Boneless, Skinless Chicken Breasts "
278,37,2 Carrots 
279,37,1 Red Onion 
280,37,2 cloves Garlic 
281,37,½ cup French Green Lentils 
282,37,1 bunch Collard Greens 
283,37,2 Tbsps Tomato Paste 
284,37,¼ tsp Crushed Red Pepper Flakes 
285,37,1 Tbsp Capers 
286,37,1 Tbsp Apple Cider Vinegar
287,37,2 Tbsps Crumbled Goat Cheese 
287,37,"1 Tbsp Tuscan Spice Blend (Ground Fennel Seeds, Whole Fennel Seeds, Ground Rosemary, & Ground Sage)"
